id_municipio,nome_municipio,sigla_uf,nome_regiao,gap_meta_2024,alunos_no_teste,soma_proba,soma_peso,prob_media_alfabetizacao
2800670,Boquim,SE,Nordeste,-0.8566667,31,10.289223575298845,37.65999984741211,0.27321358515634436
2922904,Nova Soure,BA,Nordeste,-7.18,33,9.025333218071639,33.0,0.2734949460021709
2903201,Barreiras,BA,Nordeste,-6.49,248,67.8471023906386,248.0,0.273577025768704
2403251,Parnamirim,RN,Nordeste,-5.74,213,81.33821074400302,297.1500018835068,0.2737277813509503
2900702,Alagoinhas,BA,Nordeste,-6.87,126,34.56521749921577,126.0,0.27432712300964895
2929305,São Gonçalo dos Campos,BA,Nordeste,-6.64,38,10.43032112704433,38.0,0.27448213492221923
2914703,Itaberaba,BA,Nordeste,-6.01,63,17.327071473070948,63.0,0.2750328805249357
1502905,Curuçá,PA,Norte,-7.05,48,15.76533881608503,57.24000012874603,0.27542520581106095
2801207,Canindé de São Francisco,SE,Nordeste,-7.2,67,19.693275876760893,71.33999991416931,0.27604816232764645
2932507,Una,BA,Nordeste,-6.49,34,9.459398854393887,34.0,0.2782176133645261
2800605,Barra dos Coqueiros,SE,Nordeste,5.0333333,44,14.211378986439817,50.88999927043915,0.2792568125402762
2402600,Ceará-Mirim,RN,Nordeste,,102,40.00527964665191,142.75000083446503,0.28024714124550243
1504901,Muaná,PA,Norte,-6.66,94,28.720631464624223,102.32999885082245,0.2806667818543945
2926608,Ribeira do Pombal,BA,Nordeste,-6.81,72,20.22602660507466,72.0,0.2809170361815925
1501204,Baião,PA,Norte,-7.19,33,10.709554688077088,37.93999969959259,0.2822760878459387
2919504,Livramento de Nossa Senhora,BA,Nordeste,-6.44,52,14.681846803690453,52.0,0.2823432077632779
2405801,João Câmara,RN,Nordeste,-7.19,39,14.291207311322765,50.50999987125397,0.2829381775440494
2913903,Ipiaú,BA,Nordeste,-6.87,45,12.735654334300776,45.0,0.2830145407622395
2404200,Goianinha,RN,Nordeste,-7.19,57,19.452617717509128,68.69999885559082,0.2831531010415158
2903904,Bom Jesus da Lapa,BA,Nordeste,-6.85,106,30.015955765561717,106.0,0.2831693940147332
2913200,Ibotirama,BA,Nordeste,-5.99,45,12.767969009908681,45.0,0.2837326446646374
1507474,São João de Pirabas,PA,Norte,-7.1,47,14.395245031912026,50.679999470710754,0.2840419333514674
1507953,Tailândia,PA,Norte,-6.52,169,58.319658114010466,205.14000070095062,0.28429198554516827
2707107,Piranhas,AL,Nordeste,-7.22,58,17.79734841834314,62.16999900341034,0.2862690800005782
1502400,Castanhal,PA,Norte,,285,105.71074658215734,368.75999999046326,0.2866654370997158
2906006,Campo Formoso,BA,Nordeste,-6.6,90,25.805931532201065,90.0,0.28673257258001184
1500503,Almeirim,PA,Norte,-7.06,59,20.31712291261204,70.8199987411499,0.2868839773193443
2411205,Santa Cruz,RN,Nordeste,-7.3333335,71,25.47240787033439,88.3299993276596,0.2883777659257603
1303536,Presidente Figueiredo,AM,Norte,-6.83,77,32.51588074650706,112.64000058174133,0.2886708147955905
2902708,Barra,BA,Nordeste,-7.2,81,23.405462173810676,81.0,0.28895632313346514
1503309,Igarapé-Miri,PA,Norte,-6.61,85,29.909711620090647,103.27000021934509,0.28962633442977176
1301407,Eirunepé,AM,Norte,,58,21.610029275939716,74.5799993276596,0.28975636190338727
2703106,Igaci,AL,Nordeste,-7.11,32,10.495907566997131,36.1599999666214,0.2902629307711754
2908507,Conceição do Jacuípe,BA,Nordeste,-6.82,30,8.724859258289712,30.0,0.2908286419429904
2412203,São José de Mipibu,RN,Nordeste,-11.213333,69,24.839882215449368,85.3999993801117,0.29086513343973375
2907103,Carinhanha,BA,Nordeste,-7.15,49,14.270412070425763,49.0,0.29123289939644414
2910057,Dias d'Ávila,BA,Nordeste,-6.72,95,27.67545508083954,95.0,0.29132057979831094
2807105,Simão Dias,SE,Nordeste,-4.46,61,18.579773743506436,63.749998927116394,0.29144743617561747
2927408,Salvador,BA,Nordeste,2.44,1797,524.1082259476945,1797.0,0.2916573321912601
1507003,Santo Antônio do Tauá,PA,Norte,-7.22,51,17.36322331305971,59.49999928474426,0.2918188827190729
2406502,Lagoa Nova,RN,Nordeste,-6.78,30,9.990092621922514,34.230000019073486,0.29185196074659303
2702405,Delmiro Gouveia,AL,Nordeste,-7.04,99,32.38794554698694,110.49999952316284,0.29310358087556215
2910701,Euclides da Cunha,BA,Nordeste,-2.5766666,65,19.087727027243908,65.0,0.2936573388806755
1507300,São Félix do Xingu,PA,Norte,,96,37.93192622397624,129.04000079631805,0.29395478913433615
1503101,Gurupá,PA,Norte,,61,24.564631242704902,83.54999935626984,0.29401114819830937
1505205,Oeiras do Pará,PA,Norte,-6.99,56,20.940420210137273,71.21999967098236,0.2940244356483642
4318705,São Leopoldo,RS,Sul,-4.98,261,105.13057451197723,357.08211719989777,0.2944156804501195
1500305,Afuá,PA,Norte,-7.05,92,30.806497463123506,104.50000011920929,0.2947990184495763
1500107,Abaetetuba,PA,Norte,-6.3,185,63.638112008189026,215.56999945640564,0.2952085734038259
2928604,Santo Amaro,BA,Nordeste,-5.81,71,20.97319625504582,71.0,0.29539713035275805
1500701,Anajás,PA,Norte,-7.2,46,16.14757788862981,54.55000102519989,0.2960142545399822
2211100,União,PI,Nordeste,-7.2,79,25.746652018083243,86.81999921798706,0.2965520876525088
1503077,Garrafão do Norte,PA,Norte,-6.49,47,17.147135109418475,57.730000019073486,0.2970229534687894
2900801,Alcobaça,BA,Nordeste,-5.61,40,11.900350631341317,40.0,0.2975087657835329
2916104,Itaparica,BA,Nordeste,-6.46,35,10.420010780817945,35.0,0.2977145937376556
2804607,Nossa Senhora das Dores,SE,Nordeste,-1.8266667,34,10.85488829362376,36.42999982833862,0.2979656421842699
2408102,Natal,RN,Nordeste,,553,241.14068090684071,808.940000295639,0.2980946433835789
3303500,Nova Iguaçu,RJ,Sudeste,-6.9,933,340.69174315529415,1142.0200020074844,0.29832379691810457
1506351,Santa Bárbara do Pará,PA,Norte,-6.52,31,10.086039031870532,33.74999976158142,0.2988456030554334
1500206,Acará,PA,Norte,-6.38,62,21.749846218336607,72.67000031471252,0.29929607986988277
2407104,Macaíba,RN,Nordeste,-10.566667,77,32.79686131123185,109.56999981403351,0.29932336740801285
2707701,Rio Largo,AL,Nordeste,-6.59,187,62.099296219316365,207.32000052928925,0.29953355229006595
2918001,Jequié,BA,Nordeste,-6.5,134,40.18099831232262,134.0,0.29985819636061656
2703809,Joaquim Gomes,AL,Nordeste,-14.633333,30,9.443243665651208,31.4099999666214,0.30064449779326013
1504703,Moju,PA,Norte,-6.98,124,43.84589723469432,145.50999975204468,0.3013256635929463
3305109,São João de Meriti,RJ,Sudeste,-6.52,368,139.63991871893663,462.23000144958496,0.30210050901286434
2705200,Messias,AL,Nordeste,-7.05,36,11.50493939719309,38.049999713897705,0.30236371836268183
3300456,Belford Roxo,RJ,Sudeste,-6.78,463,206.28374809753166,681.8799985647202,0.3025220691789398
3302858,Mesquita,RJ,Sudeste,-6.5,190,68.23021921673335,225.24000072479248,0.302922300644546
1502103,Cametá,PA,Norte,-6.22,176,62.55168086798164,206.01000010967255,0.30363419656658075
4300604,Alvorada,RS,Sul,-3.7166667,270,110.87121664875238,364.97098326683044,0.30378090788574935
2911204,Gandu,BA,Nordeste,-6.9,31,9.459808502083337,31.0,0.30515511297043024
2907509,Catu,BA,Nordeste,-5.85,33,10.13752748318028,33.0,0.30719780252061457
1500404,Alenquer,PA,Norte,-6.64,108,39.849001484505216,129.48999869823456,0.30773806382815655
4323002,Viamão,RS,Sul,-5.13,327,122.17474200301588,396.8855650424957,0.30783367490307756
2412005,São Gonçalo do Amarante,RN,Nordeste,-11.356667,106,45.27291243834024,147.00999999046326,0.30795804667217985
2801306,Capela,SE,Nordeste,-6.88,51,17.103352110589466,55.47999918460846,0.30827960277501887
4314050,Parobé,RS,Sul,-0.16666667,101,34.134391246006686,110.64626157283783,0.30850017669631075
1503200,Igarapé-Açu,PA,Norte,2.2066667,49,18.20564511798433,59.010000228881836,0.30851796385985714
4321600,Tramandaí,RS,Sul,6.2,92,35.998954226580125,116.33907210826874,0.30943133355128005
2924306,Piatã,BA,Nordeste,-6.01,30,9.294977793200225,30.0,0.30983259310667416
2802106,Estância,SE,Nordeste,-6.86,81,27.739200178912633,89.50999915599823,0.30990057468963544
4309308,Guaíba,RS,Sul,-4.2766666,132,50.42948604240724,162.70096230506897,0.3099519838601231
1503804,Jacundá,PA,Norte,-6.22,66,23.94125271026901,77.21999979019165,0.31003953347990015
2402204,Canguaretama,RN,Nordeste,-6.51,44,16.38489523626294,52.81999921798706,0.310202489186772
3304144,Queimados,RJ,Sudeste,-6.48,205,79.61796392701633,256.61000084877014,0.31026835923646706
