ano,id_municipio,rede,taxa_alfabetizacao,meta_alfabetizacao_2024,meta_alfabetizacao_2025,meta_alfabetizacao_2026,meta_alfabetizacao_2027,meta_alfabetizacao_2028,meta_alfabetizacao_2029,meta_alfabetizacao_2030,nivel_alfabetizacao,percentual_participacao
2023,1717503,Municipal,21.9,29.05,37.45,46.68,56.14,65.17,73.23,80,0,84.71
2024,1717503,Municipal,43.07,29.05,37.45,46.68,56.14,65.17,73.23,80,1,87.67
2023,1722107,Municipal,22,29.18,37.57,46.78,56.21,65.22,73.25,80,0,83.58
2024,1722107,Municipal,42.82,29.18,37.57,46.78,56.21,65.22,73.25,80,1,88.15
2023,2800605,Municipal,22.1,29.32,37.7,46.89,56.3,65.27,73.27,80,0,85.89
2024,2800605,Municipal,28.04,29.32,37.7,46.89,56.3,65.27,73.27,80,0,85.27
2023,2922904,Municipal,22.1,29.32,37.7,46.89,56.3,65.27,73.27,80,0,90.43
2024,2922904,Municipal,31.41,29.32,37.7,46.89,56.3,65.27,73.27,80,0,96.8
2023,2206001,Municipal,22.2,29.37,37.75,46.93,56.33,65.29,73.28,80,0,95.95
2024,2206001,Municipal,80.95,29.37,37.75,46.93,56.33,65.29,73.28,80,5,100
2023,2915809,Municipal,22.2,29.39,37.77,46.95,56.34,65.3,73.29,80,0,87.46
2024,2915809,Municipal,26.98,29.39,37.77,46.95,56.34,65.3,73.29,80,0,91.97
2024,5101209,Municipal,100,29.4,37.78,46.96,56.35,65.3,73.29,80,5,83.33
2023,2903607,Municipal,22.2,29.4,37.78,46.96,56.35,65.3,73.29,80,0,93.81
2024,2903607,Municipal,29.82,29.4,37.78,46.96,56.35,65.3,73.29,80,0,93.44
2023,5101209,Municipal,22.2,29.4,37.78,46.96,56.35,65.3,73.29,80,0,90
2024,2801603,Municipal,45.3,29.4,37.78,46.96,56.35,65.3,73.29,80,1,88.89
2023,2801603,Municipal,22.2,29.4,37.78,46.96,56.35,65.3,73.29,80,0,87.8
2024,2919108,Municipal,19.57,29.42,37.8,46.97,56.36,65.31,73.29,80,0,97.87
2023,2919108,Municipal,22.2,29.42,37.8,46.97,56.36,65.31,73.29,80,0,91.78
2024,2200509,Municipal,32.94,29.44,37.82,46.99,56.37,65.31,73.29,80,0,99
2023,2200509,Municipal,22.3,29.44,37.82,46.99,56.37,65.31,73.29,80,0,94.81
2024,2110658,Municipal,36.83,29.51,37.88,47.04,56.41,65.34,73.3,80,0,93.55
2024,2920908,Municipal,26.73,29.51,37.88,47.04,56.41,65.34,73.3,80,0,73.19
2024,1715259,Municipal,61.24,29.51,37.88,47.04,56.41,65.34,73.3,80,3,87.18
2023,2110658,Municipal,22.3,29.51,37.88,47.04,56.41,65.34,73.3,80,0,94.74
2023,1715259,Municipal,22.3,29.51,37.88,47.04,56.41,65.34,73.3,80,0,78.95
2023,2920908,Municipal,22.3,29.51,37.88,47.04,56.41,65.34,73.3,80,0,85.06
2023,2922052,Municipal,22.5,29.66,38.02,47.16,56.5,65.39,73.33,80,0,89.43
2024,2922052,Municipal,28.83,29.66,38.02,47.16,56.5,65.39,73.33,80,0,98.23
2023,2404200,Municipal,22.5,29.73,38.09,47.22,56.54,65.42,73.34,80,0,80.04
2024,2404200,Municipal,35.33,29.73,38.09,47.22,56.54,65.42,73.34,80,0,82.89
2023,2405801,Municipal,22.6,29.74,38.1,47.23,56.55,65.42,73.34,80,0,74.84
2024,2405801,Municipal,35.88,29.74,38.1,47.23,56.55,65.42,73.34,80,0,80.06
2023,5005152,Municipal,22.6,29.82,38.18,47.29,56.59,65.45,73.35,80,0,88.31
2024,5005152,Municipal,47.67,29.82,38.18,47.29,56.59,65.45,73.35,80,1,88.4
2024,2923357,Municipal,34.04,29.85,38.2,47.31,56.61,65.46,73.36,80,0,75.81
2023,2923357,Municipal,22.7,29.85,38.2,47.31,56.61,65.46,73.36,80,0,86.04
2024,2801207,Municipal,26.66,29.89,38.24,47.34,56.63,65.47,73.36,80,0,96.45
2024,2911808,Municipal,22.64,29.89,38.24,47.34,56.63,65.47,73.36,80,0,91.91
2023,2911808,Municipal,22.7,29.89,38.24,47.34,56.63,65.47,73.36,80,0,72.92
2023,2801207,Municipal,22.7,29.89,38.24,47.34,56.63,65.47,73.36,80,0,85.04
2024,2800670,Municipal,33.02,29.96,38.3,47.4,56.67,65.5,73.37,80,0,81.82
2023,2800670,Municipal,22.8,29.96,38.3,47.4,56.67,65.5,73.37,80,0,88.96
2023,2406601,Municipal,22.8,30.02,38.36,47.45,56.71,65.52,73.38,80,0,75.68
2024,2406601,Municipal,64.22,30.02,38.36,47.45,56.71,65.52,73.38,80,3,87.23
2023,2911907,Municipal,22.9,30.13,38.47,47.54,56.77,65.56,73.4,80,0,83.99
2024,2911907,Municipal,28.52,30.13,38.47,47.54,56.77,65.56,73.4,80,0,97.77
2024,2100550,Municipal,43,30.17,38.5,47.57,56.8,65.58,73.41,80,1,99.03
2023,2100550,Municipal,23,30.17,38.5,47.57,56.8,65.58,73.41,80,0,92.63
2024,2703601,Municipal,27.69,30.27,38.6,47.65,56.86,65.61,73.42,80,0,82.35
2023,2703601,Municipal,23.1,30.27,38.6,47.65,56.86,65.61,73.42,80,0,93.7
2023,2925253,Municipal,23.2,30.38,38.69,47.73,56.92,65.65,73.44,80,0,88.05
2024,2925253,Municipal,36.99,30.38,38.69,47.73,56.92,65.65,73.44,80,0,95.58
2023,2929370,Municipal,23.2,30.39,38.7,47.74,56.92,65.65,73.44,80,0,75.79
2024,2929370,Municipal,28.41,30.39,38.7,47.74,56.92,65.65,73.44,80,0,94.62
2023,2918506,Municipal,23.2,30.4,38.71,47.75,56.93,65.66,73.44,80,0,91.76
2024,2918506,Municipal,43.44,30.4,38.71,47.75,56.93,65.66,73.44,80,1,93.85
2024,2512036,Municipal,81.67,30.45,38.76,47.79,56.96,65.67,73.45,80,5,91.49
2023,2512036,Municipal,23.2,30.45,38.76,47.79,56.96,65.67,73.45,80,0,85.71
2023,2931707,Municipal,23.3,30.46,38.77,47.79,56.96,65.68,73.45,80,0,78.86
2024,2931707,Municipal,28.42,30.46,38.77,47.79,56.96,65.68,73.45,80,0,93.14
2023,2927101,Municipal,23.3,30.48,38.79,47.81,56.97,65.69,73.45,80,0,81.33
2024,2927101,Municipal,26.35,30.48,38.79,47.81,56.97,65.69,73.45,80,0,94.87
2023,2507200,Municipal,23.3,30.53,38.84,47.85,57,65.7,73.46,80,0,96.12
2024,2507200,Municipal,36.64,30.53,38.84,47.85,57,65.7,73.46,80,0,95.18
2023,2412559,Municipal,,,38.85,47.86,57.01,65.71,73.46,80,,
2024,2412559,Municipal,30.54,,38.85,47.86,57.01,65.71,73.46,80,0,75
2024,1704105,Municipal,66.67,30.54,38.85,47.86,57.01,65.71,73.46,80,3,88.24
2023,1704105,Municipal,23.3,30.54,38.85,47.86,57.01,65.71,73.46,80,0,93.75
2024,2922300,Municipal,51.72,30.55,38.86,47.87,57.02,65.71,73.47,80,2,92.55
2023,2922300,Municipal,23.3,30.55,38.86,47.87,57.02,65.71,73.47,80,0,85.78
2024,2405207,Municipal,37.93,30.69,38.99,47.98,57.1,65.76,73.49,80,0,96.67
2023,2405207,Municipal,23.5,30.69,38.99,47.98,57.1,65.76,73.49,80,0,79.17
2024,2805604,Municipal,16.87,30.74,39.04,48.02,57.13,65.78,73.49,80,0,91.3
2023,2805604,Municipal,23.5,30.74,39.04,48.02,57.13,65.78,73.49,80,0,89.77
2024,1507300,Municipal,30.95,,39.2,48.15,57.23,65.84,73.52,80,0,75.37
2023,1507300,Municipal,,,39.2,48.15,57.23,65.84,73.52,80,,
2024,2206654,Municipal,19.39,30.91,39.2,48.15,57.23,65.84,73.52,80,0,93.51
2023,2206654,Municipal,23.7,30.91,39.2,48.15,57.23,65.84,73.52,80,0,82.93
2024,3137007,Municipal,54.47,31.02,39.29,48.23,57.28,65.88,73.54,80,2,83.33
2023,3137007,Municipal,23.8,31.02,39.29,48.23,57.28,65.88,73.54,80,0,86.11
2023,2402907,Municipal,23.9,31.08,39.35,48.28,57.32,65.9,73.55,80,0,92.68
2024,2402907,Municipal,47.83,31.08,39.35,48.28,57.32,65.9,73.55,80,1,86.96
2024,2413201,Municipal,27.46,31.11,39.38,48.3,57.34,65.91,73.55,80,0,82.26
2023,2413201,Municipal,23.9,31.11,39.38,48.3,57.34,65.91,73.55,80,0,84.06
2024,2924405,Municipal,22.51,31.12,39.38,48.31,57.34,65.91,73.55,80,0,85
2023,2924405,Municipal,23.9,31.12,39.38,48.31,57.34,65.91,73.55,80,0,79.84
2023,3551405,Municipal,23.9,31.16,39.42,48.34,57.36,65.92,73.56,80,0,78.52
2024,3551405,Municipal,44.65,31.16,39.42,48.34,57.36,65.92,73.56,80,1,81.25
2023,2908804,Municipal,24,31.22,39.48,48.39,57.4,65.95,73.57,80,0,100
2024,2908804,Municipal,40.62,31.22,39.48,48.39,57.4,65.95,73.57,80,1,96.97
2023,3139300,Municipal,24,31.24,39.5,48.4,57.41,65.95,73.57,80,0,87.93
2024,3139300,Municipal,41.04,31.24,39.5,48.4,57.41,65.95,73.57,80,1,84.62
2023,2402105,Municipal,24,31.26,39.52,48.42,57.42,65.96,73.57,80,0,82.28
2024,2402105,Municipal,39.72,31.26,39.52,48.42,57.42,65.96,73.57,80,0,83.87
2023,2210383,Municipal,24.1,31.36,39.61,48.5,57.48,65.99,73.59,80,0,100
2024,2210383,Municipal,80,31.36,39.61,48.5,57.48,65.99,73.59,80,5,88.24
2024,2918308,Municipal,40.82,31.37,39.62,48.5,57.49,66,73.59,80,1,97.03
2023,2918308,Municipal,24.2,31.37,39.62,48.5,57.49,66,73.59,80,0,78.57
2023,1712504,Municipal,24.2,31.37,39.62,48.5,57.49,66,73.59,80,0,93.62
2024,1712504,Municipal,36.72,31.37,39.62,48.5,57.49,66,73.59,80,0,81.69
2024,2408409,Municipal,30.77,31.39,39.64,48.52,57.5,66.01,73.59,80,0,100
2023,2408409,Municipal,24.2,31.39,39.64,48.52,57.5,66.01,73.59,80,0,75.68
2024,2904704,Municipal,29.37,31.49,39.73,48.6,57.55,66.04,73.61,80,0,90
2023,2904704,Municipal,24.3,31.49,39.73,48.6,57.55,66.04,73.61,80,0,83.19
2023,2903235,Municipal,24.3,31.51,39.75,48.61,57.57,66.05,73.61,80,0,96.21
2024,2903235,Municipal,29.75,31.51,39.75,48.61,57.57,66.05,73.61,80,0,98.37
2023,2803203,Municipal,24.3,31.53,39.77,48.63,57.58,66.05,73.61,80,0,80.85
2024,2803203,Municipal,39.49,31.53,39.77,48.63,57.58,66.05,73.61,80,0,88.41
2023,2111078,Municipal,24.4,31.6,39.83,48.68,57.62,66.08,73.62,80,0,94.32
2024,2111078,Municipal,53.45,31.6,39.83,48.68,57.62,66.08,73.62,80,2,96.99
2023,2206100,Municipal,24.4,31.65,39.88,48.72,57.64,66.1,73.63,80,0,89.22
2024,2206100,Municipal,52.06,31.65,39.88,48.72,57.64,66.1,73.63,80,2,97.37
2023,1718881,Municipal,24.6,31.78,40,48.82,57.72,66.14,73.65,80,0,90.74
2024,1718881,Municipal,39.73,31.78,40,48.82,57.72,66.14,73.65,80,0,83.67
2024,2409100,Municipal,41.07,31.79,40.01,48.83,57.72,66.14,73.65,80,1,79.63
2023,2409100,Municipal,24.6,31.79,40.01,48.83,57.72,66.14,73.65,80,0,73.68
2023,1701309,Municipal,24.6,31.83,40.05,48.86,57.75,66.16,73.66,80,0,83.95
2024,1701309,Municipal,52.57,31.83,40.05,48.86,57.75,66.16,73.66,80,2,73.33
2024,2414407,Municipal,38.35,31.91,40.12,48.92,57.79,66.19,73.67,80,0,80.5
2023,2414407,Municipal,24.7,31.91,40.12,48.92,57.79,66.19,73.67,80,0,83.75
2023,2707107,Municipal,24.7,31.96,40.17,48.96,57.82,66.2,73.68,80,0,85.29
2024,2801702,Municipal,34.73,31.96,40.17,48.96,57.82,66.2,73.68,80,0,96.86
2023,2801702,Municipal,24.7,31.96,40.17,48.96,57.82,66.2,73.68,80,0,95.1
2024,2707107,Municipal,25.08,31.96,40.17,48.96,57.82,66.2,73.68,80,0,92.82
2023,2401206,Municipal,24.8,31.97,40.17,48.97,57.83,66.21,73.68,80,0,81.55
2024,2401206,Municipal,31.22,31.97,40.17,48.97,57.83,66.21,73.68,80,0,82.32
2023,2804201,Municipal,24.8,31.99,40.19,48.98,57.84,66.21,73.68,80,0,90.08
2024,2804201,Municipal,35.07,31.99,40.19,48.98,57.84,66.21,73.68,80,0,96.02
2023,2924009,Municipal,24.8,32.01,40.21,49,57.85,66.22,73.69,80,0,77.28
2024,2924009,Municipal,30.51,32.01,40.21,49,57.85,66.22,73.69,80,0,84.89
2024,2108702,Municipal,63.6,32.07,40.27,49.04,57.88,66.24,73.69,80,3,88.66
2023,2904902,Municipal,24.9,32.07,40.27,49.04,57.88,66.24,73.69,80,0,85.91
2023,2801504,Municipal,24.9,32.07,40.27,49.04,57.88,66.24,73.69,80,0,89.67
2024,2801504,Municipal,16.16,32.07,40.27,49.04,57.88,66.24,73.69,80,0,89.16
2023,2108702,Municipal,24.9,32.07,40.27,49.04,57.88,66.24,73.69,80,0,82.61
2024,2904902,Municipal,33.06,32.07,40.27,49.04,57.88,66.24,73.69,80,0,89.63
2023,2905156,Municipal,24.9,32.08,40.28,49.05,57.89,66.24,73.7,80,0,88.71
2024,2905156,Municipal,46.43,32.08,40.28,49.05,57.89,66.24,73.7,80,1,75.68
2024,1721307,Municipal,53.85,32.22,40.4,49.16,57.96,66.29,73.72,80,2,100
2024,2410702,Municipal,37.5,32.22,40.4,49.16,57.96,66.29,73.72,80,0,80
2023,1721307,Municipal,25,32.22,40.4,49.16,57.96,66.29,73.72,80,0,94.12
2023,2806503,Municipal,25,32.22,40.4,49.16,57.96,66.29,73.72,80,0,93.02
2023,2501153,Municipal,25,32.22,40.4,49.16,57.96,66.29,73.72,80,0,75
2024,2806503,Municipal,26.74,32.22,40.4,49.16,57.96,66.29,73.72,80,0,95.45
2024,1712454,Municipal,48.91,32.22,40.4,49.16,57.96,66.29,73.72,80,1,95.92
2023,2508109,Municipal,25,32.22,40.4,49.16,57.96,66.29,73.72,80,0,84.62
2023,1712454,Municipal,25,32.22,40.4,49.16,57.96,66.29,73.72,80,0,90.91
2023,2410702,Municipal,25,32.22,40.4,49.16,57.96,66.29,73.72,80,0,86.96
2024,2508109,Municipal,59.38,32.22,40.4,49.16,57.96,66.29,73.72,80,2,88.24
2024,2501153,Municipal,36.36,32.22,40.4,49.16,57.96,66.29,73.72,80,0,100
2023,2505600,Municipal,25,32.22,40.4,49.16,57.96,66.29,73.72,80,0,94.12
2024,2505600,Municipal,72.15,32.22,40.4,49.16,57.96,66.29,73.72,80,4,96.55
2023,1502806,Municipal,25.1,32.28,40.46,49.2,58,66.31,73.73,80,0,79.49
2024,1502806,Municipal,24.03,32.28,40.46,49.2,58,66.31,73.73,80,0,74.13
2024,2928000,Municipal,29.15,32.3,40.48,49.22,58.01,66.32,73.73,80,0,93.43
2023,2928000,Municipal,25.1,32.3,40.48,49.22,58.01,66.32,73.73,80,0,86.22
2024,2919157,Municipal,25.25,32.3,40.48,49.22,58.01,66.32,73.73,80,0,96.78
2023,2919157,Municipal,25.1,32.3,40.48,49.22,58.01,66.32,73.73,80,0,90.62
2023,2207900,Municipal,25.1,32.31,40.49,49.23,58.01,66.32,73.73,80,0,93.3
2024,2207900,Municipal,41.98,32.31,40.49,49.23,58.01,66.32,73.73,80,1,93.15
2024,2926004,Municipal,35.26,32.32,40.5,49.23,58.02,66.33,73.73,80,0,92.42
2023,2926004,Municipal,25.1,32.32,40.5,49.23,58.02,66.33,73.73,80,0,86.74
2024,1703883,Municipal,27.47,32.34,40.51,49.25,58.03,66.33,73.73,80,0,83.72
2023,1703883,Municipal,25.1,32.34,40.51,49.25,58.03,66.33,73.73,80,0,79.49
2023,2205102,Municipal,25.2,32.37,40.54,49.27,58.05,66.34,73.74,80,0,80.88
2024,2205102,Municipal,85.9,32.37,40.54,49.27,58.05,66.34,73.74,80,5,98.46
2024,2402600,Municipal,32.38,,40.56,49.29,58.06,66.35,73.74,80,0,74.64
2023,2402600,Municipal,,,40.56,49.29,58.06,66.35,73.74,80,,
2023,5005202,Municipal,25.2,32.39,40.56,49.29,58.06,66.35,73.74,80,0,91.48
2024,5005202,Municipal,33.36,32.39,40.56,49.29,58.06,66.35,73.74,80,0,83.84
2023,2930501,Municipal,25.2,32.42,40.59,49.31,58.08,66.36,73.75,80,0,80.97
2023,1700301,Municipal,25.2,32.42,40.59,49.31,58.08,66.36,73.75,80,0,93.24
2024,2930501,Municipal,19.92,32.42,40.59,49.31,58.08,66.36,73.75,80,0,92.76
2024,1700301,Municipal,40.89,32.42,40.59,49.31,58.08,66.36,73.75,80,1,88.51
2023,2400901,Municipal,25.2,32.45,40.62,49.33,58.09,66.37,73.75,80,0,76.32
2023,2920205,Municipal,25.2,32.45,40.62,49.33,58.09,66.37,73.75,80,0,93.48
2024,2400901,Municipal,37.67,32.45,40.62,49.33,58.09,66.37,73.75,80,0,91.89
2024,2402303,Municipal,39.56,32.45,40.62,49.33,58.09,66.37,73.75,80,0,80
2023,2402303,Municipal,25.2,32.45,40.62,49.33,58.09,66.37,73.75,80,0,77.05
2024,2920205,Municipal,33.68,32.45,40.62,49.33,58.09,66.37,73.75,80,0,98.45
2023,2928950,Municipal,25.3,32.49,40.65,49.36,58.11,66.38,73.76,80,0,89.13
2024,2928950,Municipal,52.94,32.49,40.65,49.36,58.11,66.38,73.76,80,2,91.07
2024,2910503,Municipal,32.55,,40.71,49.41,58.15,66.4,73.77,80,0,88.85
2023,2910503,Municipal,,,40.71,49.41,58.15,66.4,73.77,80,,
2024,2506905,Municipal,54.38,32.55,40.71,49.41,58.15,66.4,73.77,80,2,93.59
2023,2506905,Municipal,25.3,32.55,40.71,49.41,58.15,66.4,73.77,80,0,81.29
2024,2807600,Municipal,39.34,32.62,40.77,49.46,58.19,66.43,73.78,80,0,86.38
2023,2807600,Municipal,25.4,32.62,40.77,49.46,58.19,66.43,73.78,80,0,90.87
2024,1714880,Municipal,40.7,32.67,40.82,49.5,58.21,66.44,73.78,80,1,89.13
2023,1714880,Municipal,25.5,32.67,40.82,49.5,58.21,66.44,73.78,80,0,84.02
2024,2930808,Municipal,31.82,32.71,40.85,49.53,58.24,66.46,73.79,80,0,97.06
2023,2930808,Municipal,25.5,32.71,40.85,49.53,58.24,66.46,73.79,80,0,97.18
2023,2502201,Municipal,25.6,32.78,40.92,49.58,58.27,66.48,73.8,80,0,97.22
2024,2502201,Municipal,68.42,32.78,40.92,49.58,58.27,66.48,73.8,80,3,100
2024,2927606,Municipal,28.39,32.87,41,49.65,58.32,66.51,73.81,80,0,90.12
2023,2927606,Municipal,25.7,32.87,41,49.65,58.32,66.51,73.81,80,0,86.26
2024,1502400,Municipal,32.97,,41.06,49.7,58.36,66.53,73.82,80,0,77.17
2023,1502400,Municipal,,,41.06,49.7,58.36,66.53,73.82,80,,
2023,1507003,Municipal,25.7,32.94,41.06,49.7,58.36,66.53,73.82,80,0,80.85
2024,1507003,Municipal,31.66,32.94,41.06,49.7,58.36,66.53,73.82,80,0,85.75
2023,2805307,Municipal,25.8,33.03,41.14,49.77,58.41,66.56,73.84,80,0,80.52
2024,2805307,Municipal,37.68,33.03,41.14,49.77,58.41,66.56,73.84,80,0,87.72
2024,2413409,Municipal,31.59,33.05,41.16,49.78,58.42,66.57,73.84,80,0,85.71
2023,2413409,Municipal,25.8,33.05,41.16,49.78,58.42,66.57,73.84,80,0,92.5
2024,2917805,Municipal,46.85,33.07,41.18,49.8,58.43,66.58,73.84,80,1,94.08
2023,2917805,Municipal,25.9,33.07,41.18,49.8,58.43,66.58,73.84,80,0,79.14
2024,2806305,Municipal,22.15,33.12,41.22,49.84,58.46,66.59,73.85,80,0,93.94
2023,2806305,Municipal,25.9,33.12,41.22,49.84,58.46,66.59,73.85,80,0,92.05
2024,5001508,Municipal,52.42,33.17,41.27,49.87,58.49,66.61,73.86,80,2,90.78
2023,5001508,Municipal,26,33.17,41.27,49.87,58.49,66.61,73.86,80,0,97.53
2024,2905800,Municipal,28.39,33.17,41.28,49.88,58.49,66.61,73.86,80,0,93.28
2023,2905800,Municipal,26,33.17,41.28,49.88,58.49,66.61,73.86,80,0,79.67
2024,2211357,Municipal,31.25,33.18,41.29,49.89,58.5,66.62,73.86,80,0,100
2023,2211357,Municipal,26,33.18,41.29,49.89,58.5,66.62,73.86,80,0,100
2023,2210623,Municipal,26,33.21,41.31,49.91,58.51,66.63,73.86,80,0,93.55
2024,2210623,Municipal,50,33.21,41.31,49.91,58.51,66.63,73.86,80,2,100
2023,2401404,Municipal,26,33.22,41.32,49.92,58.52,66.63,73.86,80,0,80.6
2024,2401404,Municipal,35.36,33.22,41.32,49.92,58.52,66.63,73.86,80,0,81.32
2024,1711902,Municipal,35.66,33.23,41.33,49.93,58.52,66.63,73.87,80,0,88.5
2023,1711902,Municipal,26,33.23,41.33,49.93,58.52,66.63,73.87,80,0,84.09
2023,2803401,Municipal,26.1,33.27,41.37,49.96,58.55,66.65,73.87,80,0,89.19
2024,2803401,Municipal,39.3,33.27,41.37,49.96,58.55,66.65,73.87,80,0,99.28
2024,4300307,Municipal,33.3,,41.39,49.98,58.56,66.66,73.88,80,0,92.31
2023,4300307,Municipal,,,41.39,49.98,58.56,66.66,73.88,80,,
2023,1717206,Municipal,26.1,33.29,41.39,49.97,58.56,66.65,73.87,80,0,90
2024,1717206,Municipal,54.55,33.29,41.39,49.97,58.56,66.65,73.87,80,2,88
2024,1600501,Municipal,21.03,33.3,41.39,49.98,58.56,66.66,73.88,80,0,75
2023,1600501,Municipal,26.1,33.3,41.39,49.98,58.56,66.66,73.88,80,0,79.8
2024,2913101,Municipal,28,33.31,41.4,49.98,58.57,66.66,73.88,80,0,97.09
2023,2913101,Municipal,26.1,33.31,41.4,49.98,58.57,66.66,73.88,80,0,82.14
2023,2406155,Municipal,,,41.43,50.01,58.58,66.67,73.88,80,,
2024,2406155,Municipal,33.33,,41.43,50.01,58.58,66.67,73.88,80,0,78.95
2023,1703305,Municipal,26.1,33.34,41.43,50.01,58.58,66.67,73.88,80,0,86.11
2024,1703305,Municipal,28.56,33.34,41.43,50.01,58.58,66.67,73.88,80,0,95.16
2023,1300680,Municipal,26.2,33.37,41.46,50.03,58.6,66.68,73.89,80,0,87.59
2024,1300680,Municipal,31.41,33.37,41.46,50.03,58.6,66.68,73.89,80,0,86.98
2024,2906873,Municipal,29.34,33.41,41.49,50.06,58.62,66.69,73.89,80,0,92.02
2023,2906873,Municipal,26.2,33.41,41.49,50.06,58.62,66.69,73.89,80,0,85.71
2024,2407005,Municipal,26.6,33.44,41.52,50.08,58.64,66.7,73.9,80,0,86.27
2023,2407005,Municipal,26.2,33.44,41.52,50.08,58.64,66.7,73.9,80,0,92.86
2023,2205300,Municipal,26.3,33.53,41.6,50.15,58.69,66.73,73.91,80,0,100
2024,2205300,Municipal,75.31,33.53,41.6,50.15,58.69,66.73,73.91,80,4,98.28
2024,3120300,Municipal,54.17,33.57,41.64,50.18,58.71,66.75,73.91,80,2,94.44
2023,3120300,Municipal,26.4,33.57,41.64,50.18,58.71,66.75,73.91,80,0,91.53
2023,2930204,Municipal,26.4,33.62,41.68,50.21,58.73,66.76,73.92,80,0,85.65
2024,2930204,Municipal,24.24,33.62,41.68,50.21,58.73,66.76,73.92,80,0,87.73
2024,2930774,Municipal,34.44,33.65,41.71,50.24,58.75,66.77,73.93,80,0,97.42
2023,2930774,Municipal,26.4,33.65,41.71,50.24,58.75,66.77,73.93,80,0,87.75
2023,4304101,Municipal,26.5,33.67,41.73,50.25,58.76,66.78,73.93,80,0,80.77
2024,4304101,Municipal,33.9,33.67,41.73,50.25,58.76,66.78,73.93,80,0,88.57
2024,1200385,Municipal,33.78,,41.81,50.32,58.81,66.81,73.94,80,0,80.6
2023,1200385,Municipal,,,41.81,50.32,58.81,66.81,73.94,80,,
2023,1720309,Municipal,26.6,33.77,41.81,50.32,58.81,66.81,73.94,80,0,84.91
2024,1720309,Municipal,58.96,33.77,41.81,50.32,58.81,66.81,73.94,80,2,98
2023,5005608,Municipal,26.6,33.82,41.86,50.36,58.84,66.83,73.95,80,0,83.33
2023,2922102,Municipal,26.6,33.82,41.86,50.36,58.84,66.83,73.95,80,0,91.76
2024,2922102,Municipal,33.33,33.82,41.86,50.36,58.84,66.83,73.95,80,0,96.92
2024,5005608,Municipal,38.78,33.82,41.86,50.36,58.84,66.83,73.95,80,0,84.98
2024,2802908,Municipal,41.79,33.84,41.88,50.37,58.85,66.83,73.95,80,1,88.19
2023,2802908,Municipal,26.6,33.84,41.88,50.37,58.85,66.83,73.95,80,0,87.73
2024,2928505,Municipal,27.63,33.84,41.88,50.37,58.85,66.83,73.95,80,0,96.2
2023,2928505,Municipal,26.6,33.84,41.88,50.37,58.85,66.83,73.95,80,0,88.17
2023,5007802,Municipal,26.7,33.87,41.91,50.4,58.87,66.85,73.96,80,0,88.82
2024,2907004,Municipal,33.04,33.87,41.91,50.4,58.87,66.85,73.96,80,0,98.29
2023,2907004,Municipal,26.7,33.87,41.91,50.4,58.87,66.85,73.96,80,0,89.31
2024,5007802,Municipal,59.83,33.87,41.91,50.4,58.87,66.85,73.96,80,2,98.98
2024,1303601,Municipal,36.02,33.91,41.95,50.43,58.89,66.86,73.96,80,0,88.24
2023,1303601,Municipal,26.7,33.91,41.95,50.43,58.89,66.86,73.96,80,0,73.91
2023,2701308,Municipal,26.8,33.95,41.98,50.46,58.91,66.87,73.97,80,0,87.5
2024,2701308,Municipal,33.4,33.95,41.98,50.46,58.91,66.87,73.97,80,0,95.1
2024,2405702,Municipal,56.51,33.95,41.98,50.46,58.91,66.87,73.97,80,2,77.94
2023,2405702,Municipal,26.8,33.95,41.98,50.46,58.91,66.87,73.97,80,0,93.65
2024,1500701,Municipal,33.83,34.01,42.04,50.51,58.95,66.89,73.98,80,0,82.68
2023,1500701,Municipal,26.8,34.01,42.04,50.51,58.95,66.89,73.98,80,0,80.41
2023,2211100,Municipal,26.8,34.02,42.05,50.51,58.95,66.89,73.98,80,0,94.2
2024,2211100,Municipal,35.21,34.02,42.05,50.51,58.95,66.89,73.98,80,0,93.3
2024,2902708,Municipal,28.48,34.04,42.06,50.53,58.96,66.9,73.98,80,0,88.27
2023,2902708,Municipal,26.8,34.04,42.06,50.53,58.96,66.9,73.98,80,0,76.95
2024,2407302,Municipal,22.73,34.1,42.12,50.57,58.99,66.92,73.99,80,0,100
2023,2407302,Municipal,26.9,34.1,42.12,50.57,58.99,66.92,73.99,80,0,91.18
2023,2413300,Municipal,26.9,34.12,42.13,50.59,59,66.93,73.99,80,0,77.61
2024,2413300,Municipal,42.09,34.12,42.13,50.59,59,66.93,73.99,80,1,84.31
2023,2209872,Municipal,26.9,34.14,42.15,50.6,59.02,66.93,74,80,0,95.56
2024,2209872,Municipal,43.37,34.14,42.15,50.6,59.02,66.93,74,80,1,86.54
2023,2802700,Municipal,27,34.17,42.18,50.62,59.03,66.94,74,80,0,83.96
2024,2802700,Municipal,16.26,34.17,42.18,50.62,59.03,66.94,74,80,0,89.15
2024,1720200,Municipal,36.9,34.18,42.19,50.63,59.04,66.95,74,80,0,88.24
2023,1720200,Municipal,27,34.18,42.19,50.63,59.04,66.95,74,80,0,86.62
2024,3146701,Municipal,75.61,34.19,42.2,50.64,59.04,66.95,74,80,4,91.67
2023,3146701,Municipal,27,34.19,42.2,50.64,59.04,66.95,74,80,0,81.25
2024,2918100,Municipal,29.53,34.24,42.24,50.67,59.07,66.97,74.01,80,0,89.35
2023,2918100,Municipal,27,34.24,42.24,50.67,59.07,66.97,74.01,80,0,82.06
